# allowlist.tsv (#222) - divergences that are NOT going to be fixed by making
# them one value, and WHY.
#
# Columns, tab separated:  name <TAB> status <TAB> justification
#
# STATUS is one of, and the lint refuses anything else:
#   [LEGIT]   the two names really are two different quantities. This is not a
#             bug, it is a name collision, and the entry says so.
#   [DEBT]    it IS one quantity and the copies HAVE drifted. Known, judged not
#             worth the blast radius of fixing right now, and the reason states
#             the concrete consequence so the next person can judge it too.
#   [LEGACY]  bulk-baselined at #222 and not individually reasoned. There are
#             deliberately NONE of these: every row below was looked at. The
#             status exists so that "nobody actually checked" stays available as
#             an honest thing to write, rather than being disguised as [LEGIT].
#
# The justification is not decoration. The lint REFUSES a row with a status it
# does not know and REFUSES a row whose reason is under 25 characters, exactly
# as kernel/tools/concurrency-lint/allowlist.txt does, because an entry with no
# reason is a silencer rather than a decision.
#
# A row naming something that no longer diverges FAILS. An allowlist that
# describes things that are not there has stopped describing the things that
# are.
#
# THIS FILE ONLY SILENCES RULE A (a header disagreeing with something else).
# Rule B is not gating and needs no entries; rule C lives in contracts.tsv.

# ---- keycodes: FOUR encodings that share one name prefix --------------------
# kernel/drivers/keyboard.h  = raw PS/2 set-1 scancodes (KEY_F1 0x3B).
# kernel/cpu/isr.h + isr.c   = the kernel's COOKED virtual keycodes, 0x80+,
#                              which is what an app actually receives.
# kernel/drivers/virtio/virtio_input.h = Linux evdev codes, fixed by the
#                              virtio-input spec (KEY_F1 59); we do not get to
#                              choose these.
# userland/apps/arena/main.c = ASCII for ESC and TAB.
# Four layers, four encodings, one prefix. Renaming them would be an improvement
# and is not this ticket. NOTE the cooked-vs-scancode pair is the exact fault of
# #188/#191 (six apps matched scancodes and their arrow keys had never worked),
# and build/keycode-gate.sh already holds the USERLAND side to one source of
# truth in userland/libc/keys.{h,rs}. These rows cover the KERNEL side only.
KEY_ALT	[LEGIT]	PS/2 scancode 0x38 vs the kernel's cooked virtual keycode 0x9A. Two encodings of one physical key, both correct in their own layer.
KEY_DELETE	[LEGIT]	PS/2 scancode 0x53 vs evdev 111 from the virtio-input spec. The evdev number is fixed by the device protocol and cannot be changed to match.
KEY_DOWN	[LEGIT]	PS/2 0x50, cooked 0x81, evdev 108. Three layers of one arrow key; isr.c and isr.h agree with each other, which is the pair that matters.
KEY_ESC	[LEGIT]	evdev 1 vs ASCII 0x1B in the arena app. Different alphabets entirely, not a drifted copy of one number.
KEY_F1	[LEGIT]	PS/2 0x3B, cooked 0x88, evdev 59. Function-key row, same three-encoding split as the arrows.
KEY_F2	[LEGIT]	PS/2 0x3C, cooked 0x89, evdev 60. Function-key row, same three-encoding split as the arrows.
KEY_F3	[LEGIT]	PS/2 0x3D, cooked 0x8B, evdev 61. Function-key row, same three-encoding split as the arrows.
KEY_F4	[LEGIT]	PS/2 0x3E, cooked 0x8C, evdev 62. Function-key row, same three-encoding split as the arrows.
KEY_F5	[LEGIT]	PS/2 0x3F, cooked 0x84, evdev 63. Function-key row, same three-encoding split as the arrows.
KEY_F6	[LEGIT]	PS/2 0x40, cooked 0x8A, evdev 64. isr.c and isr.h agree on 0x8A, which is the copy pair that could actually hurt.
KEY_F7	[LEGIT]	PS/2 0x41, cooked 0x8D, evdev 65. Function-key row, same three-encoding split as the arrows.
KEY_F8	[LEGIT]	PS/2 0x42, cooked 0x8E, evdev 66. Function-key row, same three-encoding split as the arrows.
KEY_F9	[LEGIT]	PS/2 0x43, cooked 0x8F, evdev 67. Function-key row, same three-encoding split as the arrows.
KEY_F10	[LEGIT]	PS/2 0x44, cooked 0x87, evdev 68. Function-key row, same three-encoding split as the arrows.
KEY_F11	[LEGIT]	PS/2 0x57, cooked 0x85 in both isr.c and isr.h, evdev 87. The two kernel copies agree.
KEY_F12	[LEGIT]	PS/2 0x58, cooked 0x86 in both isr.c and isr.h, evdev 88. The two kernel copies agree.
KEY_HOME	[LEGIT]	PS/2 scancode 0x47 vs the kernel's cooked keycode 0x100 (#243). The scancode IS 0x47 and 0x47 is also ASCII 'G'; that collision is precisely why the cooked value had to leave the byte. Two layers, both correct in their own.
KEY_END	[LEGIT]	PS/2 scancode 0x4F vs the kernel's cooked keycode 0x101 (#243). Same split as KEY_HOME; 0x4F is also ASCII 'O'.
KEY_PGUP	[LEGIT]	PS/2 scancode 0x49 vs the kernel's cooked keycode 0x102 (#243). Same split as KEY_HOME; 0x49 is also ASCII 'I', which is what made PgUp enter INSERT mode in vi.
KEY_LEFT	[LEGIT]	PS/2 0x4B, cooked 0x82, evdev 105. The cooked value is the one apps see; see build/keycode-gate.sh for the userland half of this.
KEY_RIGHT	[LEGIT]	PS/2 0x4D, cooked 0x83, evdev 106. The cooked value is the one apps see; see build/keycode-gate.sh for the userland half of this.
KEY_UP	[LEGIT]	PS/2 0x48, cooked 0x80, evdev 103. The cooked value is the one apps see; see build/keycode-gate.sh for the userland half of this.
KEY_LSHIFT	[LEGIT]	PS/2 scancode 0x2A vs the kernel's cooked virtual keycode 0x95. Two encodings of one physical key.
KEY_RSHIFT	[LEGIT]	PS/2 scancode 0x36 vs the kernel's cooked virtual keycode 0x96. Two encodings of one physical key.
KEY_TAB	[LEGIT]	PS/2 0x0F, evdev 15, and ASCII 0x09 in the arena app. Three alphabets, none of them a stale copy of another.

# ---- name collisions between unrelated subsystems ---------------------------
R_OK	[LEGIT]	POSIX access() read-permission bit (4) in libc, fs/perms.h and guestfs.rs, versus a LOCAL success code (0) in rustkern/fetchown.rs whose siblings are R_NOSLOT and R_NOTOWNER. Same three letters, unrelated meanings.
EFAULT	[LEGIT]	errno 14 in libc versus -14 in rustkern/argtab.rs, which returns NEGATIVE errno values to the syscall boundary by kernel convention. Same number, opposite sign, both deliberate.
MAX_GROUPS	[LEGIT]	32 user groups in kernel/proc/users.h versus 65536 ext2 BLOCK groups in rustkern/ext2fsck.rs. Two entirely different things called groups.
MAX_USERS	[LEGIT]	32 system accounts in kernel/proc/users.h versus 64 IRC channel nicks in the irc app. Unrelated limits in unrelated binaries.
MAX_APPS	[LEGIT]	16 registered kernel GUI apps in gui/window.h versus 192 launcher entries in the launcher app. Unrelated limits.
MAX_HIST	[LEGIT]	1024 chess plies, 24 Files navigation entries, 40 compositor notifications. Three unrelated histories in three binaries.
MAX_ITEMS	[LEGIT]	RSS articles, arena entities, Files rows, recycle-bin entries. Four unrelated collection caps in four binaries.
MAX_SPAWNS	[LEGIT]	32 spawn points in the arena game header versus 64 in its own hull_test harness, which deliberately oversizes to stress the loader.
ICON_SIZE	[LEGIT]	24px kernel icon cell in gui/icons.h versus the Files app's own 16px list icon. Different widgets in different binaries.

# ---- real drift, judged, not fixed here -------------------------------------
